text,score,title
"That's how Vietnam happened. The US were so eager to protect Vietnam, that they destroyed it and killed 2 million of its citizens in the process.",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Facts: You are 40% more likely to get murdered in a red state than a blue state.             8 of the top 10 states for murder rate, are red states.",0,Texas Gun Law UNLEASHES Wave of Shootings
I don’t know what is going on in Tuckers life but I can almost guarantee you he isn’t as miserable as this kunt is,1,Tucker's Insane Defense For Mass Shooters
So murder is legal in Texas now essentially,0,Texas Gun Law UNLEASHES Wave of Shootings
Lock that crazy beotch up NOW.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Ahh the old Democrats are taking our rights . Meanwhile. The right wing Supreme Court is actually stripping rights for the first time in history. Republicans are F'n lunatics.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
His rhetoric is disgusting FACTS,0,Tucker's Insane Defense For Mass Shooters
Republicans are crazy as hell.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
DERANGED is putting it mildly!,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
You mean like hunter Biden ?,0,Tucker's Insane Defense For Mass Shooters
Hallucinati Circus gun freak....,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
I believe she would. Crazy kunt,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
So would it be justified for the parents of the child to shoot the idiot who killed her?,1,Texas Gun Law UNLEASHES Wave of Shootings
these bastards lie more then CNN,1,Texas Gun Law UNLEASHES Wave of Shootings
I think it's to dumb to look back at what she said. I'm an asshole I can't get past the ill fitting suit and bra.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
He's sick. Perverted. Monster. That's Tucker Carlson. Fox News is a seller of death.,1,Tucker's Insane Defense For Mass Shooters
Who.  Who is killing people.  This woman is sick,1,Tucker's Insane Defense For Mass Shooters
WTF is she actually talking about? Nutter,1,Tucker's Insane Defense For Mass Shooters
Idiots are everywhere can you please do something productive,1,Tucker's Insane Defense For Mass Shooters
She would rather shoot her own grandkids than have someone else shoot them.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Oh stop your lying, Jesus Christ you people are the disinfo factory just like CNN Msnbc , and most of the media. Your a joke now go shave your balls jerkoff!!!!!",1,Texas Gun Law UNLEASHES Wave of Shootings
Who knew???? WHO KNEW?????  THIS is what happens when you have dumbf*ck neighbors ...... you suffer for their stupidity no matter how decent of a person you are.,1,Texas Gun Law UNLEASHES Wave of Shootings
Why is the taliban party so obsessed with guns? can’t wait to see her shoot her grandkids 😂😂,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Texas has lower crimes rate that California. California has active shooters more than Texas.,0,Texas Gun Law UNLEASHES Wave of Shootings
Tucker only defends trump supporters racist mass shooters. Or Nazis like himself a piece of Jackals @$$,0,Tucker's Insane Defense For Mass Shooters
she can be the next school shooter (moron),1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Jeez.  This one , the idiot in Georgia, and the dummy in Colorado, are making the American educational system look stellar. 🤷🏻‍♀️",1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Those grandkids better not be gay or become a Dem.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
This bit$h is so crazy ..she makes MTG seem semi-normal ..,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Hate men, America and truth",0,Tucker's Insane Defense For Mass Shooters
At the least a Freudian slippy-doo.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
All the politicians the Turds Temple backs is a major proponent of the gun lobby. Every one who votes yes to send weapons to Ukraine is lining the gun lobby's pockets. The ones who pretend to fight the gun lobby are their biggest backers.,0,Texas Gun Law UNLEASHES Wave of Shootings
".....and as a parent, I would make sure she would never ever see her grandchildren again!!!!!!   Only in the US....",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"If that was my grandmother after that crazy 🤪 comment,  I would tell her that you are dead to me, and I would never want to hear from you again.",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Republicans 🙄 doesn't surprise me one bit they are F'n stupid how is she protecting her grandchildren if she's murdering them 🤔  seems to me her grandchildren need protection from her.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
You dumb moron... Who would say they shoot their own grandchildren and protect them at the same time... You two tongue liberals really going off the rails now... No hope for you lot anymore 🤡🤣,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
News reporters reporting on news reporters opinions,0,Tucker's Insane Defense For Mass Shooters
This is just the Republicans being the murderers they all are,0,Texas Gun Law UNLEASHES Wave of Shootings
"She's so confused about due process, she thinks it's what happens when police shoots a black for being black and gets flak for it for some reason she can't imagine.  Goddamn racists.",1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
This lady is the lunatic,0,Tucker's Insane Defense For Mass Shooters
Huh.... are the Republicans ok???,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Go shoot them, kick rocks bitch",1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
When you don't realize the gun free zones you created provide the ideal situation for these evil people to kill whoever they want,0,Tucker's Insane Defense For Mass Shooters
"Give insecure idiots a gun and a free fire zone and of course, social safety will be greater, if killing innocent people by gun-slinging dip-shits better known by the NRA as population control, is a preferred method to abortion.",1,Texas Gun Law UNLEASHES Wave of Shootings
It's fuckin' UNBELIEVABLE! What Texas is saying is They don't care if INNOCENT bystanders or people in the vicinity get injured or killed by stray bullets from prolific trigger happy gun carrying assholes. An INNOCENT 9-Year-old was killed by sheer gun-carrying assholism! It's TOTALLY Disgusting.,1,Texas Gun Law UNLEASHES Wave of Shootings
So if you want an abortion in Texas you need to give birth and have someone accidentally shoot your kid from a distance at which there is plausible deniability that they didn't intend to shoot your kid.,0,Texas Gun Law UNLEASHES Wave of Shootings
2nd amendment fanatics are super dumb.,1,Texas Gun Law UNLEASHES Wave of Shootings
